case,length,analytic_state,reference_state,official_state,bf16_checkpoint_state,fp32_checkpoint_state,analytic_abs_error
retention_256,256,0.9982845161625762,0.9982845161625802,1.0,1.0,0.9982845187187195,3.9968028886505635e-15
retention_8192,8192,0.9465394561090397,0.9465394561091564,1.0,1.0,0.9465395212173462,1.1668443988810395e-13
retention_65536,65536,0.644332112612482,0.6443321126131168,1.0,1.0,0.6443326473236084,6.348255254806645e-13
