case,pattern,length,sequence,seed,method,finite,ref_rms,rmse,relative_l2,max_abs,p99_abs,worst_channel_relative,within_2pct
nominal_256,nominal,256,0,0,official,True,0.004606330792842352,2.6437689029240275e-05,0.005739424765221173,0.00041458320650123587,0.00010490588668297174,0.008334406646594975,True
nominal_256,nominal,256,0,1,official,True,0.00445871117722363,2.465755648261431e-05,0.005530198190134439,0.00027011829917553826,9.45046427049238e-05,0.0073140590727249774,True
nominal_256,nominal,256,0,2,official,True,0.004889496629885225,2.6182075963012767e-05,0.005354758975184601,0.0004110503938099738,0.00010416083425745121,0.006897569954816534,True
nominal_256,nominal,256,0,0,bf16_checkpoint,True,0.004606330792842352,3.2914538313940467e-07,7.145500354660904e-05,9.851142725452507e-06,1.4194329939845674e-06,0.00015654349892089023,True
nominal_256,nominal,256,0,1,bf16_checkpoint,True,0.00445871117722363,3.4371447191118915e-07,7.708830158521611e-05,8.154179136062555e-06,1.5480456089929266e-06,0.0001325888600781691,True
nominal_256,nominal,256,0,2,bf16_checkpoint,True,0.004889496629885225,4.004258110001869e-07,8.18950990890828e-05,1.5083398822863994e-05,1.7425561085644126e-06,0.000185978958290436,True
nominal_256,nominal,256,0,0,fp32_checkpoint,True,0.004606330792842352,4.948700377403336e-12,1.0743258788736976e-09,1.575569158647483e-10,2.2794408979700324e-11,2.3257819838986713e-09,True
nominal_256,nominal,256,0,1,fp32_checkpoint,True,0.00445871117722363,5.41724100274435e-12,1.2149791245544596e-09,2.3417932176750256e-10,2.3028012710677567e-11,3.1656833976961544e-09,True
nominal_256,nominal,256,0,2,fp32_checkpoint,True,0.004889496629885225,6.644563950424979e-12,1.3589464219716523e-09,2.4114043574441357e-10,2.5757761128002125e-11,3.270624454612785e-09,True
nominal_256,nominal,256,0,0,output_rounding_floor,True,0.004606330792842352,7.640007246337575e-06,0.001658588492647807,0.00011421820476600203,2.9184122831736553e-05,0.0022182410125804537,True
nominal_256,nominal,256,0,1,output_rounding_floor,True,0.00445871117722363,7.455945216444439e-06,0.0016722198231927507,0.00011916173467515362,2.9057315450872258e-05,0.0022290278589656605,True
nominal_256,nominal,256,0,2,output_rounding_floor,True,0.004889496629885225,8.078037258910177e-06,0.0016521204267809873,0.00011567910785395541,3.138907918614391e-05,0.002068650878675085,True
nominal_8192,nominal,8192,0,0,official,True,0.004275895207259484,2.4532324803397636e-05,0.005737354077749007,0.0005491238377347343,9.490786932584675e-05,0.006070563884279593,True
nominal_8192,nominal,8192,0,1,official,True,0.00430625264512872,2.469063522002879e-05,0.0057336708397634556,0.0004676831093095579,9.552043989020194e-05,0.006082953566331579,True
nominal_8192,nominal,8192,0,2,official,True,0.004326382629220916,2.477191350183993e-05,0.005725779623495944,0.00046560184488456113,9.585742456928617e-05,0.0059669370293000635,True
nominal_8192,nominal,8192,0,0,bf16_checkpoint,True,0.004275895207259484,3.4520188084384735e-07,8.073207225887439e-05,1.4831042170167404e-05,1.5088183548398325e-06,9.370358950308915e-05,True
