gate_case,seed,numeric_path,token,gate,prefix,decay,inverse
constant_0,0,fp32,46,0.0,0.0,1.0,1.0
constant_0,0,fp32,47,0.0,0.0,1.0,1.0
constant_0,0,fp32,48,0.0,0.0,1.0,1.0
constant_0,0,fp32,49,0.0,0.0,1.0,1.0
constant_0,0,fp32,50,0.0,0.0,1.0,1.0
constant_0,0,fp32,51,0.0,0.0,1.0,1.0
constant_0,0,fp32,52,0.0,0.0,1.0,1.0
constant_0,0,fp32,53,0.0,0.0,1.0,1.0
constant_0,0,fp32,54,0.0,0.0,1.0,1.0
constant_0,0,fp32,55,0.0,0.0,1.0,1.0
constant_0,0,fp32,56,0.0,0.0,1.0,1.0
constant_0,0,fp32,57,0.0,0.0,1.0,1.0
constant_0,0,fp32,58,0.0,0.0,1.0,1.0
constant_0,0,fp32,59,0.0,0.0,1.0,1.0
constant_0,0,fp32,60,0.0,0.0,1.0,1.0
constant_0,0,fp32,61,0.0,0.0,1.0,1.0
constant_0,0,fp32,62,0.0,0.0,1.0,1.0
constant_0,0,fp32,63,0.0,0.0,1.0,1.0
constant_0,0,fp32,64,0.0,0.0,1.0,1.0
constant_0,0,fp32_bf16,1,0.0,0.0,1.0,1.0
constant_0,0,fp32_bf16,2,0.0,0.0,1.0,1.0
constant_0,0,fp32_bf16,3,0.0,0.0,1.0,1.0
constant_0,0,fp32_bf16,4,0.0,0.0,1.0,1.0
constant_0,0,fp32_bf16,5,0.0,0.0,1.0,1.0
constant_0,0,fp32_bf16,6,0.0,0.0,1.0,1.0
constant_0,0,fp32_bf16,7,0.0,0.0,1.0,1.0
constant_0,0,fp32_bf16,8,0.0,0.0,1.0,1.0
constant_0,0,fp32_bf16,9,0.0,0.0,1.0,1.0
constant_0,0,fp32_bf16,10,0.0,0.0,1.0,1.0
constant_0,0,fp32_bf16,11,0.0,0.0,1.0,1.0
constant_0,0,fp32_bf16,12,0.0,0.0,1.0,1.0
constant_0,0,fp32_bf16,13,0.0,0.0,1.0,1.0
constant_0,0,fp32_bf16,14,0.0,0.0,1.0,1.0
constant_0,0,fp32_bf16,15,0.0,0.0,1.0,1.0
constant_0,0,fp32_bf16,16,0.0,0.0,1.0,1.0
constant_0,0,fp32_bf16,17,0.0,0.0,1.0,1.0
constant_0,0,fp32_bf16,18,0.0,0.0,1.0,1.0
constant_0,0,fp32_bf16,19,0.0,0.0,1.0,1.0
constant_0,0,fp32_bf16,20,0.0,0.0,1.0,1.0
constant_0,0,fp32_bf16,21,0.0,0.0,1.0,1.0
constant_0,0,fp32_bf16,22,0.0,0.0,1.0,1.0
constant_0,0,fp32_bf16,23,0.0,0.0,1.0,1.0
constant_0,0,fp32_bf16,24,0.0,0.0,1.0,1.0
constant_0,0,fp32_bf16,25,0.0,0.0,1.0,1.0
constant_0,0,fp32_bf16,26,0.0,0.0,1.0,1.0
constant_0,0,fp32_bf16,27,0.0,0.0,1.0,1.0
constant_0,0,fp32_bf16,28,0.0,0.0,1.0,1.0
constant_0,0,fp32_bf16,29,0.0,0.0,1.0,1.0
constant_0,0,fp32_bf16,30,0.0,0.0,1.0,1.0
constant_0,0,fp32_bf16,31,0.0,0.0,1.0,1.0
