case,cache,stage,metric,unit,value
h12_n8,cold,k2,device__attribute_device_index,,0
h12_n8,cold,k2,device__attribute_direct_managed_mem_access_from_host,,0
h12_n8,cold,k2,device__attribute_display_name,,NVIDIA B300 SXM6 AC
h12_n8,cold,k2,device__attribute_dma_buf_supported,,1
h12_n8,cold,k2,device__attribute_ecc_enabled,,1
h12_n8,cold,k2,device__attribute_fb_bus_width,,7680
h12_n8,cold,k2,device__attribute_fbp_count,,16
h12_n8,cold,k2,device__attribute_generic_compression_supported,,1
h12_n8,cold,k2,device__attribute_global_l1_cache_supported,,1
h12_n8,cold,k2,device__attribute_global_memory_bus_width,,7680
h12_n8,cold,k2,device__attribute_gpu_direct_rdma_flush_writes_options,,1
h12_n8,cold,k2,device__attribute_gpu_direct_rdma_supported,,1
h12_n8,cold,k2,device__attribute_gpu_direct_rdma_with_cuda_vmm_supported,,1
h12_n8,cold,k2,device__attribute_gpu_direct_rdma_writes_ordering,,100
h12_n8,cold,k2,device__attribute_gpu_overlap,,1
h12_n8,cold,k2,device__attribute_gpu_pci_device_id,,830607582
h12_n8,cold,k2,device__attribute_gpu_pci_ext_device_id,,12674
h12_n8,cold,k2,device__attribute_gpu_pci_ext_downstream_link_rate,,16000
h12_n8,cold,k2,device__attribute_gpu_pci_ext_downstream_link_width,,32
h12_n8,cold,k2,device__attribute_gpu_pci_ext_gen,,5
h12_n8,cold,k2,device__attribute_gpu_pci_ext_gpu_gen,,5
h12_n8,cold,k2,device__attribute_gpu_pci_ext_gpu_link_rate,,64000
h12_n8,cold,k2,device__attribute_gpu_pci_ext_gpu_link_width,,16
h12_n8,cold,k2,device__attribute_gpu_pci_revision_id,,161
h12_n8,cold,k2,device__attribute_gpu_pci_sub_system_id,,551948510
h12_n8,cold,k2,device__attribute_handle_type_fabric_supported,,1
h12_n8,cold,k2,device__attribute_handle_type_posix_file_descriptor_supported,,1
h12_n8,cold,k2,device__attribute_handle_type_win32_handle_supported,,0
h12_n8,cold,k2,device__attribute_handle_type_win32_kmt_handle_supported,,0
h12_n8,cold,k2,device__attribute_host_native_atomic_supported,,0
h12_n8,cold,k2,device__attribute_host_numa_id,,0
h12_n8,cold,k2,device__attribute_host_register_supported,,1
h12_n8,cold,k2,device__attribute_implementation,,419
h12_n8,cold,k2,device__attribute_integrated,,0
h12_n8,cold,k2,device__attribute_ipc_event_supported,,1
h12_n8,cold,k2,device__attribute_kernel_exec_timeout,,0
h12_n8,cold,k2,device__attribute_l2_cache_size,,132644864
h12_n8,cold,k2,device__attribute_l2s_count,,192
h12_n8,cold,k2,device__attribute_limits_max_cta_per_sm,,32
h12_n8,cold,k2,device__attribute_limits_num_tpcs,,74
h12_n8,cold,k2,device__attribute_local_l1_cache_supported,,1
h12_n8,cold,k2,device__attribute_managed_memory,,1
h12_n8,cold,k2,device__attribute_max_access_policy_window_size,,134217728
h12_n8,cold,k2,device__attribute_max_block_dim_x,,1024
h12_n8,cold,k2,device__attribute_max_block_dim_y,,1024
h12_n8,cold,k2,device__attribute_max_block_dim_z,,64
h12_n8,cold,k2,device__attribute_max_blocks_per_multiprocessor,,32
h12_n8,cold,k2,device__attribute_max_gpu_frequency_khz,,2032000
h12_n8,cold,k2,device__attribute_max_grid_dim_x,,2147483647
h12_n8,cold,k2,device__attribute_max_grid_dim_y,,65535
h12_n8,cold,k2,device__attribute_max_grid_dim_z,,65535
h12_n8,cold,k2,device__attribute_max_ipc_per_multiprocessor,,4
h12_n8,cold,k2,device__attribute_max_ipc_per_scheduler,,1
h12_n8,cold,k2,device__attribute_max_mem_frequency_khz,,3996000
h12_n8,cold,k2,device__attribute_max_persisting_l2_cache_size,,82903040
h12_n8,cold,k2,device__attribute_max_pitch,,2147483647
h12_n8,cold,k2,device__attribute_max_registers_per_block,,65536
h12_n8,cold,k2,device__attribute_max_registers_per_multiprocessor,,65536
h12_n8,cold,k2,device__attribute_max_registers_per_thread,,255
h12_n8,cold,k2,device__attribute_max_shared_memory_per_block,,49152
h12_n8,cold,k2,device__attribute_max_shared_memory_per_block_optin,,232448
h12_n8,cold,k2,device__attribute_max_shared_memory_per_multiprocessor,,233472
h12_n8,cold,k2,device__attribute_max_threads_per_block,,1024
h12_n8,cold,k2,device__attribute_max_threads_per_multiprocessor,,2048
h12_n8,cold,k2,device__attribute_max_warps_per_multiprocessor,,64
h12_n8,cold,k2,device__attribute_max_warps_per_scheduler,,16
h12_n8,cold,k2,device__attribute_maximum_surface1d_layered_layers,,2048
h12_n8,cold,k2,device__attribute_maximum_surface1d_layered_width,,32768
h12_n8,cold,k2,device__attribute_maximum_surface1d_width,,32768
h12_n8,cold,k2,device__attribute_maximum_surface2d_height,,65536
h12_n8,cold,k2,device__attribute_maximum_surface2d_layered_height,,32768
h12_n8,cold,k2,device__attribute_maximum_surface2d_layered_layers,,2048
h12_n8,cold,k2,device__attribute_maximum_surface2d_layered_width,,32768
h12_n8,cold,k2,device__attribute_maximum_surface2d_width,,131072
h12_n8,cold,k2,device__attribute_maximum_surface3d_depth,,16384
h12_n8,cold,k2,device__attribute_maximum_surface3d_height,,16384
h12_n8,cold,k2,device__attribute_maximum_surface3d_width,,16384
h12_n8,cold,k2,device__attribute_maximum_surfacecubemap_layered_layers,,2046
h12_n8,cold,k2,device__attribute_maximum_surfacecubemap_layered_width,,32768
h12_n8,cold,k2,device__attribute_maximum_surfacecubemap_width,,32768
h12_n8,cold,k2,device__attribute_maximum_texture1d_layered_layers,,2048
h12_n8,cold,k2,device__attribute_maximum_texture1d_layered_width,,32768
h12_n8,cold,k2,device__attribute_maximum_texture1d_linear_width,,268435456
h12_n8,cold,k2,device__attribute_maximum_texture1d_mipmapped_width,,32768
h12_n8,cold,k2,device__attribute_maximum_texture1d_width,,131072
h12_n8,cold,k2,device__attribute_maximum_texture2d_gather_height,,32768
h12_n8,cold,k2,device__attribute_maximum_texture2d_gather_width,,32768
h12_n8,cold,k2,device__attribute_maximum_texture2d_height,,65536
h12_n8,cold,k2,device__attribute_maximum_texture2d_layered_height,,32768
h12_n8,cold,k2,device__attribute_maximum_texture2d_layered_layers,,2048
h12_n8,cold,k2,device__attribute_maximum_texture2d_layered_width,,32768
h12_n8,cold,k2,device__attribute_maximum_texture2d_linear_height,,65000
h12_n8,cold,k2,device__attribute_maximum_texture2d_linear_pitch,,2097120
h12_n8,cold,k2,device__attribute_maximum_texture2d_linear_width,,131072
h12_n8,cold,k2,device__attribute_maximum_texture2d_mipmapped_height,,32768
h12_n8,cold,k2,device__attribute_maximum_texture2d_mipmapped_width,,32768
h12_n8,cold,k2,device__attribute_maximum_texture2d_width,,131072
h12_n8,cold,k2,device__attribute_maximum_texture3d_depth,,16384
h12_n8,cold,k2,device__attribute_maximum_texture3d_depth_alternate,,32768
h12_n8,cold,k2,device__attribute_maximum_texture3d_height,,16384
h12_n8,cold,k2,device__attribute_maximum_texture3d_height_alternate,,8192
h12_n8,cold,k2,device__attribute_maximum_texture3d_width,,16384
h12_n8,cold,k2,device__attribute_maximum_texture3d_width_alternate,,8192
h12_n8,cold,k2,device__attribute_maximum_texturecubemap_layered_layers,,2046
h12_n8,cold,k2,device__attribute_maximum_texturecubemap_layered_width,,32768
h12_n8,cold,k2,device__attribute_maximum_texturecubemap_width,,32768
h12_n8,cold,k2,device__attribute_mem_sync_domain_count,,4
h12_n8,cold,k2,device__attribute_memory_clock_rate,,3996000
h12_n8,cold,k2,device__attribute_memory_pools_supported,,1
h12_n8,cold,k2,device__attribute_mempool_supported_handle_types,,9
h12_n8,cold,k2,device__attribute_mps_enabled,,0
h12_n8,cold,k2,device__attribute_multi_gpu_board,,0
h12_n8,cold,k2,device__attribute_multi_gpu_board_group_id,,0
h12_n8,cold,k2,device__attribute_multicast_supported,,1
h12_n8,cold,k2,device__attribute_multiprocessor_count,,148
h12_n8,cold,k2,device__attribute_num_l2s_per_fbp,,12
h12_n8,cold,k2,device__attribute_num_schedulers_per_multiprocessor,,4
h12_n8,cold,k2,device__attribute_num_tex_per_multiprocessor,,1
h12_n8,cold,k2,device__attribute_numa_config,,0
h12_n8,cold,k2,device__attribute_pageable_memory_access,,1
h12_n8,cold,k2,device__attribute_pageable_memory_access_uses_host_page_tables,,0
h12_n8,cold,k2,device__attribute_pci_bus_id,,12
h12_n8,cold,k2,device__attribute_pci_device_id,,0
h12_n8,cold,k2,device__attribute_pci_domain_id,,0
h12_n8,cold,k2,device__attribute_ram_location,,1
h12_n8,cold,k2,device__attribute_ram_type,,0
h12_n8,cold,k2,device__attribute_reserved_shared_memory_per_block,,1024
h12_n8,cold,k2,device__attribute_sass_level,,10
h12_n8,cold,k2,device__attribute_single_to_double_precision_perf_ratio,,64
h12_n8,cold,k2,device__attribute_sparse_cuda_array_supported,,1
h12_n8,cold,k2,device__attribute_stream_priorities_supported,,1
h12_n8,cold,k2,device__attribute_surface_alignment,,512
h12_n8,cold,k2,device__attribute_tcc_driver,,0
h12_n8,cold,k2,device__attribute_tensor_map_access_supported,,1
h12_n8,cold,k2,device__attribute_texture_alignment,,512
h12_n8,cold,k2,device__attribute_texture_pitch_alignment,,32
h12_n8,cold,k2,device__attribute_total_constant_memory,,65536
h12_n8,cold,k2,device__attribute_total_memory,,287428640768
h12_n8,cold,k2,device__attribute_unified_addressing,,1
h12_n8,cold,k2,device__attribute_unified_function_pointers,,1
h12_n8,cold,k2,device__attribute_virtual_address_management_supported,,1
h12_n8,cold,k2,device__attribute_warp_size,,32
h12_n8,cold,k2,dram__bytes_read.avg,byte,1773416
h12_n8,cold,k2,dram__bytes_read.max,byte,1894656
h12_n8,cold,k2,dram__bytes_read.min,byte,946176
h12_n8,cold,k2,dram__bytes_read.sum,byte,113498624
h12_n8,cold,k2,dram__bytes_write.avg,byte,174420
h12_n8,cold,k2,dram__bytes_write.max,byte,200704
h12_n8,cold,k2,dram__bytes_write.min,byte,64000
h12_n8,cold,k2,dram__bytes_write.sum,byte,11162880
h12_n8,cold,k2,dram__throughput.avg.pct_of_peak_sustained_elapsed,%,16.13
h12_n8,cold,k2,dram__throughput.max.pct_of_peak_sustained_elapsed,%,16.27
h12_n8,cold,k2,dram__throughput.min.pct_of_peak_sustained_elapsed,%,15.69
h12_n8,cold,k2,dram__throughput.sum.pct_of_peak_sustained_elapsed,%,16.13
h12_n8,cold,k2,gpc__cycles_elapsed.avg.per_second,hz,1907143140.68
h12_n8,cold,k2,gpc__cycles_elapsed.max.per_second,hz,1911549301.37
h12_n8,cold,k2,gpc__cycles_elapsed.min.per_second,hz,1901992696.09
h12_n8,cold,k2,gpc__cycles_elapsed.sum.per_second,hz,15257145125.44
h12_n8,cold,k2,gpu__time_duration.avg,ns,100768
h12_n8,cold,k2,gpu__time_duration.max,ns,100768
h12_n8,cold,k2,gpu__time_duration.min,ns,100768
h12_n8,cold,k2,gpu__time_duration.sum,ns,100768
h12_n8,cold,k2,gr__workids_granted.avg,,0
h12_n8,cold,k2,gr__workids_granted.max,,0
h12_n8,cold,k2,gr__workids_granted.min,,0
h12_n8,cold,k2,gr__workids_granted.sum,,0
h12_n8,cold,k2,gr__workids_granted_as_ctas.avg,block,0
h12_n8,cold,k2,gr__workids_granted_as_ctas.max,block,0
h12_n8,cold,k2,gr__workids_granted_as_ctas.min,block,0
h12_n8,cold,k2,gr__workids_granted_as_ctas.sum,block,0
h12_n8,cold,k2,gr__workids_requested.avg,,0
h12_n8,cold,k2,gr__workids_requested.max,,0
h12_n8,cold,k2,gr__workids_requested.min,,0
h12_n8,cold,k2,gr__workids_requested.sum,,0
h12_n8,cold,k2,l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_ld.avg,,2360.86
h12_n8,cold,k2,l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_ld.max,,4236
h12_n8,cold,k2,l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_ld.min,,0
h12_n8,cold,k2,l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_ld.sum,,349407
h12_n8,cold,k2,l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_st.avg,,8402.92
h12_n8,cold,k2,l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_st.max,,13787
h12_n8,cold,k2,l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_st.min,,0
h12_n8,cold,k2,l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_st.sum,,1243632
h12_n8,cold,k2,l1tex__throughput.avg.pct_of_peak_sustained_elapsed,%,35.91
h12_n8,cold,k2,l1tex__throughput.max.pct_of_peak_sustained_elapsed,%,55.82
h12_n8,cold,k2,l1tex__throughput.min.pct_of_peak_sustained_elapsed,%,0.00
h12_n8,cold,k2,l1tex__throughput.sum.pct_of_peak_sustained_elapsed,%,35.91
h12_n8,cold,k2,launch__barrier_count,,9
h12_n8,cold,k2,launch__block_dim_x,block,192
h12_n8,cold,k2,launch__block_dim_y,block,1
h12_n8,cold,k2,launch__block_dim_z,block,1
h12_n8,cold,k2,launch__block_size,,192
h12_n8,cold,k2,launch__cluster_dim_x,,0
h12_n8,cold,k2,launch__cluster_dim_y,,0
h12_n8,cold,k2,launch__cluster_dim_z,,0
h12_n8,cold,k2,launch__cluster_max_active,cluster,0
h12_n8,cold,k2,launch__cluster_max_potential_size,block,8
h12_n8,cold,k2,launch__cluster_scheduling_policy,,PolicySpread
h12_n8,cold,k2,launch__cluster_size,,0
h12_n8,cold,k2,launch__context_id,,1
h12_n8,cold,k2,launch__device_id,,0
h12_n8,cold,k2,launch__func_cache_config,,CachePreferNone
h12_n8,cold,k2,launch__function_pcs,,1
h12_n8,cold,k2,launch__grid_dim_x,,8
h12_n8,cold,k2,launch__grid_dim_y,,12
h12_n8,cold,k2,launch__grid_dim_z,,1
h12_n8,cold,k2,launch__grid_size,,96
h12_n8,cold,k2,launch__occupancy_cluster_gpu_pct,%,0
h12_n8,cold,k2,launch__occupancy_cluster_pct,%,0
h12_n8,cold,k2,launch__occupancy_limit_barriers,block,7
h12_n8,cold,k2,launch__occupancy_limit_blocks,block,32
h12_n8,cold,k2,launch__occupancy_limit_registers,block,4
h12_n8,cold,k2,launch__occupancy_limit_shared_mem,block,2
h12_n8,cold,k2,launch__occupancy_limit_warps,block,10
h12_n8,cold,k2,launch__occupancy_per_barrier_count,,588
h12_n8,cold,k2,launch__occupancy_per_block_size,,758
h12_n8,cold,k2,launch__occupancy_per_cluster_size,,0
h12_n8,cold,k2,launch__occupancy_per_register_count,,2556
h12_n8,cold,k2,launch__occupancy_per_shared_mem_size,,5292
h12_n8,cold,k2,launch__persisting_l2_cache_size,byte,24870912
h12_n8,cold,k2,launch__preferred_cluster_dim_x,,0
h12_n8,cold,k2,launch__preferred_cluster_dim_y,,0
h12_n8,cold,k2,launch__preferred_cluster_dim_z,,0
h12_n8,cold,k2,launch__preferred_cluster_size,,0
h12_n8,cold,k2,launch__registers_per_thread,register/thread,73
h12_n8,cold,k2,launch__registers_per_thread_allocated,register/thread,80
h12_n8,cold,k2,launch__shared_mem_config_size,byte,200704
h12_n8,cold,k2,launch__shared_mem_per_block,byte/block,99456
h12_n8,cold,k2,launch__shared_mem_per_block_allocated,byte/block,99456
h12_n8,cold,k2,launch__shared_mem_per_block_driver,byte/block,1024
h12_n8,cold,k2,launch__shared_mem_per_block_dynamic,byte/block,98432
h12_n8,cold,k2,launch__shared_mem_per_block_static,byte/block,0
h12_n8,cold,k2,launch__sm_count,SM,148
h12_n8,cold,k2,launch__stack_size,,1024
h12_n8,cold,k2,launch__stream_id,,7
h12_n8,cold,k2,launch__thread_count,thread,18432
h12_n8,cold,k2,launch__tpc_count,,74
h12_n8,cold,k2,launch__tpc_enabled,,all
h12_n8,cold,k2,launch__uses_cdp,,0
h12_n8,cold,k2,launch__uses_green_context,,0
h12_n8,cold,k2,launch__uses_mps,,0
h12_n8,cold,k2,launch__uses_nvlink_centric_scheduling,,0
h12_n8,cold,k2,launch__uses_vgpu,,0
h12_n8,cold,k2,launch__waves_per_multiprocessor,,0.32
h12_n8,cold,k2,lts__t_sector_hit_rate.pct,%,53.18
h12_n8,cold,k2,lts__t_sectors.avg,sector,71880.84
h12_n8,cold,k2,lts__t_sectors.max,sector,78061
h12_n8,cold,k2,lts__t_sectors.min,sector,34541
h12_n8,cold,k2,lts__t_sectors.sum,sector,13226074
h12_n8,cold,k2,lts__throughput.avg.pct_of_peak_sustained_elapsed,%,25.86
h12_n8,cold,k2,lts__throughput.max.pct_of_peak_sustained_elapsed,%,28.32
h12_n8,cold,k2,lts__throughput.min.pct_of_peak_sustained_elapsed,%,12.10
h12_n8,cold,k2,lts__throughput.sum.pct_of_peak_sustained_elapsed,%,25.86
h12_n8,cold,k2,numa__cpu_affinity,,1
h12_n8,cold,k2,numa__dev_display_name_all,,1
h12_n8,cold,k2,numa__id_cpu,,1
h12_n8,cold,k2,numa__id_memory,,1
h12_n8,cold,k2,nvlink__bandwidth,,0
h12_n8,cold,k2,nvlink__count_logical,,0
h12_n8,cold,k2,nvlink__count_physical,,0
h12_n8,cold,k2,nvlink__destination_ports,,0
h12_n8,cold,k2,nvlink__dev0Id,,0
h12_n8,cold,k2,nvlink__dev0type,,0
h12_n8,cold,k2,nvlink__dev1Id,,0
h12_n8,cold,k2,nvlink__dev1type,,0
h12_n8,cold,k2,nvlink__dev_display_name_all,,1
h12_n8,cold,k2,nvlink__enabled_mask,,262143
h12_n8,cold,k2,nvlink__is_direct_link,,0
h12_n8,cold,k2,nvlink__is_nvswitch_connected,,0
h12_n8,cold,k2,nvlink__max_count,,18
h12_n8,cold,k2,nvlink__peer_access,,0
h12_n8,cold,k2,nvlink__peer_atomic,,0
h12_n8,cold,k2,nvlink__source_ports,,0
h12_n8,cold,k2,nvlink__system_access,,0
h12_n8,cold,k2,nvlink__system_atomic,,0
h12_n8,cold,k2,profiler__perfworks_session_reuse,,0
h12_n8,cold,k2,profiler__replayer_bytes_mem_accessible.avg,byte,275174379
h12_n8,cold,k2,profiler__replayer_bytes_mem_accessible.max,byte,275174379
h12_n8,cold,k2,profiler__replayer_bytes_mem_accessible.min,byte,275174379
h12_n8,cold,k2,profiler__replayer_bytes_mem_accessible.sum,byte,4127615685
h12_n8,cold,k2,profiler__replayer_bytes_mem_backed_up.avg,byte,275174379
h12_n8,cold,k2,profiler__replayer_bytes_mem_backed_up.max,byte,275174379
h12_n8,cold,k2,profiler__replayer_bytes_mem_backed_up.min,byte,275174379
h12_n8,cold,k2,profiler__replayer_bytes_mem_backed_up.sum,byte,4127615685
h12_n8,cold,k2,profiler__replayer_passes,pass,15
h12_n8,cold,k2,profiler__replayer_passes_type_warmup,pass,0
h12_n8,cold,k2,sm__cycles_active.avg,cycle,118955.26
h12_n8,cold,k2,sm__cycles_active.avg.pct_of_peak_sustained_elapsed,%,61.90
h12_n8,cold,k2,sm__cycles_active.max,cycle,185294
h12_n8,cold,k2,sm__cycles_active.max.pct_of_peak_sustained_elapsed,%,96.42
h12_n8,cold,k2,sm__cycles_active.min,cycle,0
h12_n8,cold,k2,sm__cycles_active.min.pct_of_peak_sustained_elapsed,%,0
h12_n8,cold,k2,sm__cycles_active.sum,cycle,17605379
h12_n8,cold,k2,sm__cycles_active.sum.pct_of_peak_sustained_elapsed,%,61.90
h12_n8,cold,k2,sm__inst_executed_pipe_adu.avg.pct_of_peak_sustained_elapsed,%,2.06
h12_n8,cold,k2,sm__inst_executed_pipe_adu.max.pct_of_peak_sustained_elapsed,%,3.25
h12_n8,cold,k2,sm__inst_executed_pipe_adu.min.pct_of_peak_sustained_elapsed,%,0
h12_n8,cold,k2,sm__inst_executed_pipe_adu.sum.pct_of_peak_sustained_elapsed,%,2.06
h12_n8,cold,k2,sm__inst_executed_pipe_alu.avg.pct_of_peak_sustained_elapsed,%,12.65
h12_n8,cold,k2,sm__inst_executed_pipe_alu.max.pct_of_peak_sustained_elapsed,%,19.50
h12_n8,cold,k2,sm__inst_executed_pipe_alu.min.pct_of_peak_sustained_elapsed,%,0
h12_n8,cold,k2,sm__inst_executed_pipe_alu.sum.pct_of_peak_sustained_elapsed,%,12.65
h12_n8,cold,k2,sm__inst_executed_pipe_fma.avg.pct_of_peak_sustained_elapsed,%,5.28
h12_n8,cold,k2,sm__inst_executed_pipe_fma.max.pct_of_peak_sustained_elapsed,%,8.14
h12_n8,cold,k2,sm__inst_executed_pipe_fma.min.pct_of_peak_sustained_elapsed,%,0
h12_n8,cold,k2,sm__inst_executed_pipe_fma.sum.pct_of_peak_sustained_elapsed,%,5.28
h12_n8,cold,k2,sm__inst_executed_pipe_lsu.avg.pct_of_peak_sustained_elapsed,%,9.95
h12_n8,cold,k2,sm__inst_executed_pipe_lsu.max.pct_of_peak_sustained_elapsed,%,15.34
h12_n8,cold,k2,sm__inst_executed_pipe_lsu.min.pct_of_peak_sustained_elapsed,%,0
h12_n8,cold,k2,sm__inst_executed_pipe_lsu.sum.pct_of_peak_sustained_elapsed,%,9.95
h12_n8,cold,k2,sm__inst_executed_pipe_xu.avg.pct_of_peak_sustained_elapsed,%,0.18
h12_n8,cold,k2,sm__inst_executed_pipe_xu.max.pct_of_peak_sustained_elapsed,%,0.28
h12_n8,cold,k2,sm__inst_executed_pipe_xu.min.pct_of_peak_sustained_elapsed,%,0
h12_n8,cold,k2,sm__inst_executed_pipe_xu.sum.pct_of_peak_sustained_elapsed,%,0.18
h12_n8,cold,k2,sm__issue_active.avg.pct_of_peak_sustained_elapsed,%,19.18
h12_n8,cold,k2,sm__issue_active.max.pct_of_peak_sustained_elapsed,%,29.59
h12_n8,cold,k2,sm__issue_active.min.pct_of_peak_sustained_elapsed,%,0
h12_n8,cold,k2,sm__issue_active.sum.pct_of_peak_sustained_elapsed,%,19.18
h12_n8,cold,k2,sm__maximum_warps_avg_per_active_cycle,warp,12
h12_n8,cold,k2,sm__maximum_warps_per_active_cycle_pct,%,18.75
h12_n8,cold,k2,sm__ops_path_tensor_op_hmma_src_bf16_dst_fp32.avg,,70736370.16
h12_n8,cold,k2,sm__ops_path_tensor_op_hmma_src_bf16_dst_fp32.max,,109051904
h12_n8,cold,k2,sm__ops_path_tensor_op_hmma_src_bf16_dst_fp32.min,,0
h12_n8,cold,k2,sm__ops_path_tensor_op_hmma_src_bf16_dst_fp32.sum,,10468982784
h12_n8,cold,k2,sm__ops_path_tensor_op_hmma_src_fp16_dst_fp16.avg,,0
h12_n8,cold,k2,sm__ops_path_tensor_op_hmma_src_fp16_dst_fp16.max,,0
h12_n8,cold,k2,sm__ops_path_tensor_op_hmma_src_fp16_dst_fp16.min,,0
h12_n8,cold,k2,sm__ops_path_tensor_op_hmma_src_fp16_dst_fp16.sum,,0
h12_n8,cold,k2,sm__pipe_tensor_cycles_active.avg.pct_of_peak_sustained_active,%,29.04
h12_n8,cold,k2,sm__pipe_tensor_cycles_active.avg.pct_of_peak_sustained_elapsed,%,17.97
h12_n8,cold,k2,sm__pipe_tensor_cycles_active.max.pct_of_peak_sustained_active,%,44.76
h12_n8,cold,k2,sm__pipe_tensor_cycles_active.max.pct_of_peak_sustained_elapsed,%,27.71
h12_n8,cold,k2,sm__pipe_tensor_cycles_active.min.pct_of_peak_sustained_active,%,0
h12_n8,cold,k2,sm__pipe_tensor_cycles_active.min.pct_of_peak_sustained_elapsed,%,0
h12_n8,cold,k2,sm__pipe_tensor_cycles_active.sum.pct_of_peak_sustained_active,%,29.04
h12_n8,cold,k2,sm__pipe_tensor_cycles_active.sum.pct_of_peak_sustained_elapsed,%,17.97
h12_n8,cold,k2,sm__throughput.avg.pct_of_peak_sustained_elapsed,%,19.18
h12_n8,cold,k2,sm__throughput.max.pct_of_peak_sustained_elapsed,%,29.59
h12_n8,cold,k2,sm__throughput.min.pct_of_peak_sustained_elapsed,%,0
h12_n8,cold,k2,sm__throughput.sum.pct_of_peak_sustained_elapsed,%,19.18
h12_n8,cold,k2,sm__warps_active.avg.pct_of_peak_sustained_active,%,9.33
h12_n8,cold,k2,sm__warps_active.avg.per_cycle_active,warp,5.97
h12_n8,cold,k2,sm__warps_active.max.pct_of_peak_sustained_active,%,14.53
h12_n8,cold,k2,sm__warps_active.max.per_cycle_active,warp,9.30
h12_n8,cold,k2,sm__warps_active.min.pct_of_peak_sustained_active,%,0
h12_n8,cold,k2,sm__warps_active.min.per_cycle_active,warp,0
h12_n8,cold,k2,sm__warps_active.sum.pct_of_peak_sustained_active,%,9.33
h12_n8,cold,k2,sm__warps_active.sum.per_cycle_active,warp,883.79
h12_n8,cold,k2,smsp__issue_active.avg.pct_of_peak_sustained_active,%,31.13
h12_n8,cold,k2,smsp__issue_active.max.pct_of_peak_sustained_active,%,64.03
h12_n8,cold,k2,smsp__issue_active.min.pct_of_peak_sustained_active,%,0
h12_n8,cold,k2,smsp__issue_active.sum.pct_of_peak_sustained_active,%,31.13
h12_n8,cold,k2,smsp__maximum_warps_avg_per_active_cycle,warp,3
h12_n8,cold,k2,smsp__warp_issue_stalled_barrier_per_warp_active.pct,%,3.75
h12_n8,cold,k2,smsp__warp_issue_stalled_long_scoreboard_per_warp_active.pct,%,10.15
h12_n8,cold,k2,smsp__warp_issue_stalled_math_pipe_throttle_per_warp_active.pct,%,0.11
h12_n8,cold,k2,smsp__warp_issue_stalled_membar_per_warp_active.pct,%,0
h12_n8,cold,k2,smsp__warp_issue_stalled_mio_throttle_per_warp_active.pct,%,2.69
h12_n8,cold,k2,smsp__warp_issue_stalled_not_selected_per_warp_active.pct,%,1.02
h12_n8,cold,k2,smsp__warp_issue_stalled_short_scoreboard_per_warp_active.pct,%,15.82
h12_n8,cold,k2,smsp__warp_issue_stalled_wait_per_warp_active.pct,%,23.02
h12_n8,cold,k2,smsp__warps_active.avg.peak_sustained,warp,16
h12_n8,cold,k2,smsp__warps_active.max.peak_sustained,warp,16
h12_n8,cold,k2,smsp__warps_active.min.peak_sustained,warp,16
h12_n8,cold,k2,smsp__warps_active.sum.peak_sustained,warp,9472
h12_n8,cold,k2,smsp__warps_eligible.avg.per_cycle_active,warp,0.33
h12_n8,cold,k2,smsp__warps_eligible.max.per_cycle_active,warp,0.72
h12_n8,cold,k2,smsp__warps_eligible.min.per_cycle_active,warp,0
h12_n8,cold,k2,smsp__warps_eligible.sum.per_cycle_active,warp,193.29
h12_n8,warm,k1,c2clink__enabled_mask,,0
h12_n8,warm,k1,c2clink__present,,0
h12_n8,warm,k1,derived__pct_occupancy_per_barrier_count,,2230
h12_n8,warm,k1,derived__pct_occupancy_per_block_size,%,5190
h12_n8,warm,k1,derived__pct_occupancy_per_register_count,%/register,8524
h12_n8,warm,k1,derived__pct_occupancy_per_shared_mem_size,%/byte,14020
h12_n8,warm,k1,device__attribute_architecture,,416
h12_n8,warm,k1,device__attribute_async_engine_count,,4
h12_n8,warm,k1,device__attribute_can_flush_remote_writes,,0
h12_n8,warm,k1,device__attribute_can_map_host_memory,,1
h12_n8,warm,k1,device__attribute_can_tex2d_gather,,1
h12_n8,warm,k1,device__attribute_can_use_64_bit_stream_mem_ops,,1
h12_n8,warm,k1,device__attribute_can_use_64_bit_stream_mem_ops_v1,,0
h12_n8,warm,k1,device__attribute_can_use_host_pointer_for_registered_mem,,1
h12_n8,warm,k1,device__attribute_can_use_stream_mem_ops_v1,,0
h12_n8,warm,k1,device__attribute_can_use_stream_wait_value_nor,,1
h12_n8,warm,k1,device__attribute_can_use_stream_wait_value_nor_v1,,0
h12_n8,warm,k1,device__attribute_chip,,419
h12_n8,warm,k1,device__attribute_clock_rate,,2032000
h12_n8,warm,k1,device__attribute_cluster_launch,,1
h12_n8,warm,k1,device__attribute_compute_capability_major,,10
h12_n8,warm,k1,device__attribute_compute_capability_minor,,3
h12_n8,warm,k1,device__attribute_compute_mode,,0
h12_n8,warm,k1,device__attribute_compute_preemption_supported,,1
