case,cache,stage,metric,unit,value
h12_n1,cold,k1,device__attribute_maximum_surface1d_layered_layers,,2048
h12_n1,cold,k1,device__attribute_maximum_surface1d_layered_width,,32768
h12_n1,cold,k1,device__attribute_maximum_surface1d_width,,32768
h12_n1,cold,k1,device__attribute_maximum_surface2d_height,,65536
h12_n1,cold,k1,device__attribute_maximum_surface2d_layered_height,,32768
h12_n1,cold,k1,device__attribute_maximum_surface2d_layered_layers,,2048
h12_n1,cold,k1,device__attribute_maximum_surface2d_layered_width,,32768
h12_n1,cold,k1,device__attribute_maximum_surface2d_width,,131072
h12_n1,cold,k1,device__attribute_maximum_surface3d_depth,,16384
h12_n1,cold,k1,device__attribute_maximum_surface3d_height,,16384
h12_n1,cold,k1,device__attribute_maximum_surface3d_width,,16384
h12_n1,cold,k1,device__attribute_maximum_surfacecubemap_layered_layers,,2046
h12_n1,cold,k1,device__attribute_maximum_surfacecubemap_layered_width,,32768
h12_n1,cold,k1,device__attribute_maximum_surfacecubemap_width,,32768
h12_n1,cold,k1,device__attribute_maximum_texture1d_layered_layers,,2048
h12_n1,cold,k1,device__attribute_maximum_texture1d_layered_width,,32768
h12_n1,cold,k1,device__attribute_maximum_texture1d_linear_width,,268435456
h12_n1,cold,k1,device__attribute_maximum_texture1d_mipmapped_width,,32768
h12_n1,cold,k1,device__attribute_maximum_texture1d_width,,131072
h12_n1,cold,k1,device__attribute_maximum_texture2d_gather_height,,32768
h12_n1,cold,k1,device__attribute_maximum_texture2d_gather_width,,32768
h12_n1,cold,k1,device__attribute_maximum_texture2d_height,,65536
h12_n1,cold,k1,device__attribute_maximum_texture2d_layered_height,,32768
h12_n1,cold,k1,device__attribute_maximum_texture2d_layered_layers,,2048
h12_n1,cold,k1,device__attribute_maximum_texture2d_layered_width,,32768
h12_n1,cold,k1,device__attribute_maximum_texture2d_linear_height,,65000
h12_n1,cold,k1,device__attribute_maximum_texture2d_linear_pitch,,2097120
h12_n1,cold,k1,device__attribute_maximum_texture2d_linear_width,,131072
h12_n1,cold,k1,device__attribute_maximum_texture2d_mipmapped_height,,32768
h12_n1,cold,k1,device__attribute_maximum_texture2d_mipmapped_width,,32768
h12_n1,cold,k1,device__attribute_maximum_texture2d_width,,131072
h12_n1,cold,k1,device__attribute_maximum_texture3d_depth,,16384
h12_n1,cold,k1,device__attribute_maximum_texture3d_depth_alternate,,32768
h12_n1,cold,k1,device__attribute_maximum_texture3d_height,,16384
h12_n1,cold,k1,device__attribute_maximum_texture3d_height_alternate,,8192
h12_n1,cold,k1,device__attribute_maximum_texture3d_width,,16384
h12_n1,cold,k1,device__attribute_maximum_texture3d_width_alternate,,8192
h12_n1,cold,k1,device__attribute_maximum_texturecubemap_layered_layers,,2046
h12_n1,cold,k1,device__attribute_maximum_texturecubemap_layered_width,,32768
h12_n1,cold,k1,device__attribute_maximum_texturecubemap_width,,32768
h12_n1,cold,k1,device__attribute_mem_sync_domain_count,,4
h12_n1,cold,k1,device__attribute_memory_clock_rate,,3996000
h12_n1,cold,k1,device__attribute_memory_pools_supported,,1
h12_n1,cold,k1,device__attribute_mempool_supported_handle_types,,9
h12_n1,cold,k1,device__attribute_mps_enabled,,0
h12_n1,cold,k1,device__attribute_multi_gpu_board,,0
h12_n1,cold,k1,device__attribute_multi_gpu_board_group_id,,0
h12_n1,cold,k1,device__attribute_multicast_supported,,1
h12_n1,cold,k1,device__attribute_multiprocessor_count,,148
h12_n1,cold,k1,device__attribute_num_l2s_per_fbp,,12
h12_n1,cold,k1,device__attribute_num_schedulers_per_multiprocessor,,4
h12_n1,cold,k1,device__attribute_num_tex_per_multiprocessor,,1
h12_n1,cold,k1,device__attribute_numa_config,,0
h12_n1,cold,k1,device__attribute_pageable_memory_access,,1
h12_n1,cold,k1,device__attribute_pageable_memory_access_uses_host_page_tables,,0
h12_n1,cold,k1,device__attribute_pci_bus_id,,12
h12_n1,cold,k1,device__attribute_pci_device_id,,0
h12_n1,cold,k1,device__attribute_pci_domain_id,,0
h12_n1,cold,k1,device__attribute_ram_location,,1
h12_n1,cold,k1,device__attribute_ram_type,,0
h12_n1,cold,k1,device__attribute_reserved_shared_memory_per_block,,1024
h12_n1,cold,k1,device__attribute_sass_level,,10
h12_n1,cold,k1,device__attribute_single_to_double_precision_perf_ratio,,64
h12_n1,cold,k1,device__attribute_sparse_cuda_array_supported,,1
h12_n1,cold,k1,device__attribute_stream_priorities_supported,,1
h12_n1,cold,k1,device__attribute_surface_alignment,,512
h12_n1,cold,k1,device__attribute_tcc_driver,,0
h12_n1,cold,k1,device__attribute_tensor_map_access_supported,,1
h12_n1,cold,k1,device__attribute_texture_alignment,,512
h12_n1,cold,k1,device__attribute_texture_pitch_alignment,,32
h12_n1,cold,k1,device__attribute_total_constant_memory,,65536
h12_n1,cold,k1,device__attribute_total_memory,,287428640768
h12_n1,cold,k1,device__attribute_unified_addressing,,1
h12_n1,cold,k1,device__attribute_unified_function_pointers,,1
h12_n1,cold,k1,device__attribute_virtual_address_management_supported,,1
h12_n1,cold,k1,device__attribute_warp_size,,32
h12_n1,cold,k1,dram__bytes_read.avg,byte,1183776
h12_n1,cold,k1,dram__bytes_read.max,byte,1264384
h12_n1,cold,k1,dram__bytes_read.min,byte,631296
h12_n1,cold,k1,dram__bytes_read.sum,byte,75761664
h12_n1,cold,k1,dram__bytes_write.avg,byte,525628
h12_n1,cold,k1,dram__bytes_write.max,byte,586496
h12_n1,cold,k1,dram__bytes_write.min,byte,196864
h12_n1,cold,k1,dram__bytes_write.sum,byte,33640192
h12_n1,cold,k1,dram__throughput.avg.pct_of_peak_sustained_elapsed,%,33.63
h12_n1,cold,k1,dram__throughput.max.pct_of_peak_sustained_elapsed,%,34.14
h12_n1,cold,k1,dram__throughput.min.pct_of_peak_sustained_elapsed,%,30.55
h12_n1,cold,k1,dram__throughput.sum.pct_of_peak_sustained_elapsed,%,33.63
h12_n1,cold,k1,gpc__cycles_elapsed.avg.per_second,hz,1902767958.14
h12_n1,cold,k1,gpc__cycles_elapsed.max.per_second,hz,1911788273.00
h12_n1,cold,k1,gpc__cycles_elapsed.min.per_second,hz,1897907239.82
h12_n1,cold,k1,gpc__cycles_elapsed.sum.per_second,hz,15222143665.16
h12_n1,cold,k1,gpu__time_duration.avg,ns,42432
h12_n1,cold,k1,gpu__time_duration.max,ns,42432
h12_n1,cold,k1,gpu__time_duration.min,ns,42432
h12_n1,cold,k1,gpu__time_duration.sum,ns,42432
h12_n1,cold,k1,gr__workids_granted.avg,,0
h12_n1,cold,k1,gr__workids_granted.max,,0
h12_n1,cold,k1,gr__workids_granted.min,,0
h12_n1,cold,k1,gr__workids_granted.sum,,0
h12_n1,cold,k1,gr__workids_granted_as_ctas.avg,block,0
h12_n1,cold,k1,gr__workids_granted_as_ctas.max,block,0
h12_n1,cold,k1,gr__workids_granted_as_ctas.min,block,0
h12_n1,cold,k1,gr__workids_granted_as_ctas.sum,block,0
h12_n1,cold,k1,gr__workids_requested.avg,,0
h12_n1,cold,k1,gr__workids_requested.max,,0
h12_n1,cold,k1,gr__workids_requested.min,,0
h12_n1,cold,k1,gr__workids_requested.sum,,0
h12_n1,cold,k1,l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_ld.avg,,4016.43
h12_n1,cold,k1,l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_ld.max,,4924
h12_n1,cold,k1,l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_ld.min,,2796
