input,chunk,token,prefix_log2,exp_fp32,inverse_fp32,decay,inverse
1,32,23,-3.3181982,0.100258864,9.97418022,0.100097656,10
1,32,24,-3.46246767,0.0907179788,11.0231733,0.0908203125,11
1,32,25,-3.60673714,0.0820850208,12.1824903,0.08203125,12.1875
1,32,26,-3.7510066,0.0742736012,13.4637337,0.07421875,13.4375
1,32,27,-3.89527607,0.0672055334,14.8797264,0.0673828125,14.875
1,32,28,-4.03954554,0.0608100817,16.4446411,0.0607910156,16.5
1,32,29,-4.183815,0.0550232381,18.174139,0.0549316406,18.125
1,32,30,-4.32808447,0.0497870892,20.0855293,0.0498046875,20.125
1,32,31,-4.47235394,0.045049224,22.1979408,0.0451660156,22.25
1,32,32,-4.6166234,0.0407622233,24.5325184,0.0407714844,24.5
1,64,1,-0.144269511,0.90483737,1.10517097,0.90625,1.1015625
1,64,2,-0.288539022,0.818730772,1.22140276,0.8203125,1.21875
1,64,3,-0.432808518,0.740818143,1.34985888,0.7421875,1.3515625
1,64,4,-0.577078044,0.670320034,1.49182475,0.671875,1.4921875
1,64,5,-0.72134757,0.606530607,1.64872134,0.60546875,1.6484375
1,64,6,-0.865617096,0.548811615,1.82211888,0.546875,1.8203125
1,64,7,-1.00988662,0.49658525,2.01375294,0.49609375,2.015625
1,64,8,-1.15415609,0.449328929,2.22554111,0.44921875,2.21875
1,64,9,-1.29842556,0.40656963,2.45960331,0.40625,2.453125
1,64,10,-1.44269502,0.36787945,2.71828175,0.3671875,2.71875
1,64,11,-1.58696449,0.332871079,3.00416589,0.33203125,3
1,64,12,-1.73123395,0.301194221,3.32011676,0.30078125,3.3125
1,64,13,-1.87550342,0.272531807,3.6692965,0.2734375,3.671875
1,64,14,-2.01977301,0.246596962,4.05519962,0.247070312,4.0625
1,64,15,-2.16404247,0.223130167,4.48168898,0.22265625,4.46875
1,64,16,-2.30831194,0.201896518,4.95303202,0.202148438,4.9375
1,64,17,-2.45258141,0.182683527,5.47394705,0.182617188,5.46875
1,64,18,-2.59685087,0.165298909,6.04964685,0.165039062,6.0625
1,64,19,-2.74112034,0.149568632,6.68589354,0.149414062,6.6875
1,64,20,-2.8853898,0.135335311,7.38905478,0.135742188,7.375
1,64,21,-3.02965927,0.122456446,8.16616821,0.122558594,8.1875
1,64,22,-3.17392874,0.110803179,9.02501202,0.110839844,9
1,64,23,-3.3181982,0.100258864,9.97418022,0.100097656,10
1,64,24,-3.46246767,0.0907179788,11.0231733,0.0908203125,11
1,64,25,-3.60673714,0.0820850208,12.1824903,0.08203125,12.1875
1,64,26,-3.7510066,0.0742736012,13.4637337,0.07421875,13.4375
1,64,27,-3.89527607,0.0672055334,14.8797264,0.0673828125,14.875
1,64,28,-4.03954554,0.0608100817,16.4446411,0.0607910156,16.5
1,64,29,-4.183815,0.0550232381,18.174139,0.0549316406,18.125
1,64,30,-4.32808447,0.0497870892,20.0855293,0.0498046875,20.125
1,64,31,-4.47235394,0.045049224,22.1979408,0.0451660156,22.25
1,64,32,-4.6166234,0.0407622233,24.5325184,0.0407714844,24.5
1,64,33,-4.76089287,0.0368831865,27.1126251,0.0368652344,27.125
1,64,34,-4.90516233,0.0333732851,29.9640827,0.0334472656,30
1,64,35,-5.0494318,0.0301973987,33.1154327,0.0301513672,33
1,64,36,-5.19370127,0.0273237377,36.5982132,0.02734375,36.5
1,64,37,-5.33797073,0.024723541,40.4472809,0.0247802734,40.5
1,64,38,-5.4822402,0.0223707855,44.7011566,0.0223388672,44.75
1,64,39,-5.62650967,0.0202419236,49.4024162,0.0202636719,49.5
1,64,40,-5.77077913,0.0183156505,54.5981102,0.0183105469,54.5
1,64,41,-5.9150486,0.0165726878,60.3402443,0.0166015625,60.25
1,64,42,-6.05931807,0.014995588,66.6862869,0.0150146484,66.5
1,64,43,-6.20358753,0.013568569,73.6997375,0.0135498047,73.5
1,64,44,-6.347857,0.0122773489,81.4508057,0.0122680664,81.5
1,64,45,-6.49212646,0.0111090057,90.0170593,0.0111083984,90
1,64,46,-6.63639593,0.0100518437,99.48423,0.0100708008,99.5
1,64,47,-6.7806654,0.00909528509,109.947075,0.00909423828,110
1,64,48,-6.92493486,0.00822975393,121.510307,0.00823974609,121.5
1,64,49,-7.06920433,0.00744658988,134.289658,0.00744628906,134
1,64,50,-7.2134738,0.00673795305,148.413025,0.00674438477,148
1,64,51,-7.35774326,0.00609675236,164.021759,0.00610351562,164
1,64,52,-7.50201273,0.00551657006,181.272064,0.00552368164,181
1,64,53,-7.6462822,0.00499159889,200.336594,0.00500488281,200
1,64,54,-7.79055166,0.00451658573,221.406189,0.00451660156,221
1,64,55,-7.93482113,0.00408677571,244.691666,0.00408935547,245
1,64,56,-8.07909107,0.00369786634,270.426208,0.00369262695,270
1,64,57,-8.22336102,0.00334596704,298.867249,0.0033416748,298
1,64,58,-8.36763096,0.00302755507,330.29953,0.00302124023,330
1,64,59,-8.5119009,0.00273944438,365.037537,0.00274658203,366
1,64,60,-8.65617085,0.00247875089,403.428986,0.00247192383,404
1,64,61,-8.80044079,0.00224286597,445.858124,0.00224304199,446
1,64,62,-8.94471073,0.00202942849,492.749573,0.00202941895,492
1,64,63,-9.08898067,0.00183630222,544.572693,0.00183868408,544
1,64,64,-9.23325062,0.00166155444,601.846008,0.00166320801,600
2,16,1,-1.44269502,0.36787945,2.71828175,0.3671875,2.71875
2,16,2,-2.88539004,0.135335281,7.38905621,0.135742188,7.375
2,16,3,-4.32808495,0.0497870706,20.085535,0.0498046875,20.125
2,16,4,-5.77078009,0.0183156393,54.5981483,0.0183105469,54.5
2,16,5,-7.21347523,0.00673794653,148.413162,0.00674438477,148
2,16,6,-8.65616989,0.00247875252,403.428711,0.00247192383,404
2,16,7,-10.0988646,0.00091188238,1096.63269,0.000911712646,1096
2,16,8,-11.5415592,0.000335462857,2980.95581,0.000335693359,2976
2,16,9,-12.9842539,0.000123409918,8103.07568,0.000123023987,8096
2,16,10,-14.4269485,4.53999855e-05,22026.4395,4.529953e-05,22016
2,16,11,-15.8696432,1.67017261e-05,59874.0508,1.66893005e-05,59904
2,16,12,-17.3123379,6.14422333e-06,162754.516,6.13927841e-06,162816
