gate_case,seed,chunk,quantity,zero_count,lost_nonzero_count,inf_count,nan_count,first_bad_flat_index,first_bad_token_1based,finite_min,finite_max,max_abs_error,relative_l2_error,count,model_zero_mask_mismatches,model_inf_mask_mismatches,model_nan_mask_mismatches,model_finite_max_abs_difference
constant_-3,0,64,factorized,1015,1015,0,630,435,,0.0,1.00457763671875,,,2080,0,0,0,0.0
constant_-5,0,16,decay,0,0,0,0,,,1.8055593228630336e-35,0.006744384765625,6.437766539532999e-06,0.0009555437641525005,16,0,0,0,0.0
constant_-5,0,16,inverse,0,0,0,0,,,148.0,5.549267267559097e+34,8.644883165587194e+31,0.0015602795996931447,16,0,0,0,0.0
constant_-5,0,16,direct,0,0,0,0,,,2.68426485998971e-33,1.0,6.437766539532999e-06,6.233915444169895e-06,136,0,0,0,0.0
constant_-5,0,16,factorized,0,0,0,0,,,2.6722277978372897e-33,1.0045166015625,0.0045166015625,0.0020976203408346007,136,0,0,0,0.0
constant_-5,0,32,decay,15,15,0,0,17,18,0.0,0.006744384765625,6.437766539532999e-06,0.0009555437641525005,32,0,0,0,0.0
constant_-5,0,32,inverse,0,0,15,0,17,18,148.0,8.224598223919167e+36,,,32,0,0,0,0.0
constant_-5,0,32,direct,105,105,0,0,171,,0.0,1.0,6.437766539532999e-06,6.33698436556817e-06,528,0,0,0,0.0
constant_-5,0,32,factorized,255,255,0,120,153,,0.0,1.0045166015625,,,528,0,0,0,0.0
constant_-5,0,64,decay,47,47,0,0,17,18,0.0,0.006744384765625,6.437766539532999e-06,0.0009555437641525005,64,0,0,0,0.0
constant_-5,0,64,inverse,0,0,47,0,17,18,148.0,8.224598223919167e+36,,,64,0,0,0,0.0
constant_-5,0,64,direct,1081,1081,0,0,171,,0.0,1.0,6.437766539532999e-06,6.3878951159923444e-06,2080,0,0,0,0.0
constant_-5,0,64,factorized,799,799,0,1128,153,,0.0,1.0045166015625,,,2080,0,0,0,0.0
uniform,0,16,decay,0,0,0,0,,,5.116079001415974e-19,0.0078125,1.380323333169571e-05,0.0017633603508087094,16,0,0,0,0.0
uniform,0,16,inverse,0,0,0,0,,,128.0,1.9545622382787953e+18,3750967717344768.0,0.0019155075531297942,16,0,0,0,0.0
uniform,0,16,direct,0,0,0,0,,,6.548581121812447e-17,1.0,0.000934427430208773,0.00031772268394574026,136,0,0,0,0.0
uniform,0,16,factorized,0,0,0,0,,,6.548581121812447e-17,1.00311279296875,0.00494384765625,0.0021042290423055536,136,0,0,0,0.0
