timestamp, uuid, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], temperature.gpu
2026/09/10 12:56:00.430, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 310.65 W, 36
2026/09/10 12:56:00.630, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 324.25 W, 36
2026/09/10 12:56:00.830, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 335.36 W, 36
2026/09/10 12:56:01.030, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 343.36 W, 36
2026/09/10 12:56:01.230, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 333.58 W, 36
2026/09/10 12:56:01.430, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 328.36 W, 36
2026/09/10 12:56:01.630, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 330.29 W, 36
2026/09/10 12:56:01.830, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 333.98 W, 37
2026/09/10 12:56:02.031, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 321.93 W, 36
2026/09/10 12:56:02.231, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 330.21 W, 36
2026/09/10 12:56:02.431, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 337.22 W, 37
2026/09/10 12:56:02.631, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 347.18 W, 37
2026/09/10 12:56:02.831, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 333.66 W, 36
2026/09/10 12:56:03.031, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 329.96 W, 36
2026/09/10 12:56:03.231, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 315.26 W, 36
2026/09/10 12:56:03.431, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 297.65 W, 36
2026/09/10 12:56:03.631, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 276.54 W, 36
2026/09/10 12:56:03.831, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 283.65 W, 36
2026/09/10 12:56:04.031, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 302.21 W, 36
2026/09/10 12:56:04.231, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 319.93 W, 37
