shape,m,n,k,batch,repeats,method,round,median_us,min_us,max_us,us_per_gemm
gram,16,16,128,1,32,sm80_transpose_w4,0,22.631466388702393,22.62079914410909,22.638932863871258,0.7072333246469498
gram,16,16,128,1,32,sm80_w4,0,22.623999913533527,22.589866320292156,22.653865814208984,0.7069999972979227
gram,16,16,128,1,32,tc_transpose,0,22.50880002975464,22.449066241582234,22.518400351206463,0.7034000009298325
gram,16,16,128,1,32,sm80_w8,0,18.53226621945699,18.528000513712566,18.540799617767334,0.5791333193580309
gram,16,16,128,1,32,sm80_transpose_w4,1,22.629332542419434,22.625066836675007,22.639999787012737,0.7071666419506073
gram,16,16,128,1,32,tc_direct,1,22.992000977198284,22.940800587336224,22.999467452367146,0.7185000305374464
gram,16,16,128,1,32,sm80_w4,1,22.651733954747517,22.590933243433636,22.66133427619934,0.7078666860858599
gram,16,16,128,1,32,sm80_w8,1,18.52373282114665,18.492799997329712,18.5589333375295,0.5788666506608328
gram,16,16,128,1,32,tc_transpose,1,22.461867332458496,22.45440085728963,22.516266504923504,0.701933354139328
gram,16,16,128,1,32,sm80_pad_w4,1,23.265065749486286,23.208532730738323,23.27893376350403,0.7270333046714464
gram,16,16,128,1,32,sm80_w1,1,23.13599983851115,23.128533363342285,23.179733753204346,0.7229999949534734
gram,16,16,128,1,32,sm80_w8,2,18.526933590571087,18.52160096168518,18.541866540908813,0.5789666747053465
gram,16,16,128,1,32,sm80_transpose_w4,2,22.653865814208984,22.625066836675007,22.66346613566081,0.7079333066940308
gram,16,16,128,1,32,sm80_w4,2,22.593067089716595,22.587732474009197,22.650667031606037,0.7060333465536436
gram,16,16,128,1,32,tc_direct,2,22.970666488011677,22.964266935984295,22.996266682942707,0.7178333277503649
gram,16,16,128,1,32,sm80_pad_w4,2,23.25013279914856,23.234132925669353,23.270400365193684,0.7265666499733925
gram,16,16,128,1,32,sm80_w1,2,23.183999458948772,23.149865865707397,23.190399010976154,0.7244999830921491
gram,16,16,128,1,32,tc_transpose,2,22.502400477727253,22.446932395299275,22.50880002975464,0.7032000149289767
gram,16,16,128,1,32,sm80_w4,3,22.63360023498535,22.62079914410909,22.643200556437176,0.7073000073432922
