case,stage,metric,unit,value
h96_n1,k1,device__attribute_gpu_direct_rdma_writes_ordering,,100
h96_n1,k1,device__attribute_gpu_overlap,,1
h96_n1,k1,device__attribute_gpu_pci_device_id,,830607582
h96_n1,k1,device__attribute_gpu_pci_ext_device_id,,12674
h96_n1,k1,device__attribute_gpu_pci_ext_downstream_link_rate,,16000
h96_n1,k1,device__attribute_gpu_pci_ext_downstream_link_width,,32
h96_n1,k1,device__attribute_gpu_pci_ext_gen,,5
h96_n1,k1,device__attribute_gpu_pci_ext_gpu_gen,,5
h96_n1,k1,device__attribute_gpu_pci_ext_gpu_link_rate,,64000
h96_n1,k1,device__attribute_gpu_pci_ext_gpu_link_width,,16
h96_n1,k1,device__attribute_gpu_pci_revision_id,,161
h96_n1,k1,device__attribute_gpu_pci_sub_system_id,,551948510
h96_n1,k1,device__attribute_handle_type_fabric_supported,,1
h96_n1,k1,device__attribute_handle_type_posix_file_descriptor_supported,,1
h96_n1,k1,device__attribute_handle_type_win32_handle_supported,,0
h96_n1,k1,device__attribute_handle_type_win32_kmt_handle_supported,,0
h96_n1,k1,device__attribute_host_native_atomic_supported,,0
h96_n1,k1,device__attribute_host_numa_id,,0
h96_n1,k1,device__attribute_host_register_supported,,1
h96_n1,k1,device__attribute_implementation,,419
h96_n1,k1,device__attribute_integrated,,0
h96_n1,k1,device__attribute_ipc_event_supported,,1
h96_n1,k1,device__attribute_kernel_exec_timeout,,0
h96_n1,k1,device__attribute_l2_cache_size,,132644864
h96_n1,k1,device__attribute_l2s_count,,192
h96_n1,k1,device__attribute_limits_max_cta_per_sm,,32
h96_n1,k1,device__attribute_limits_num_tpcs,,74
h96_n1,k1,device__attribute_local_l1_cache_supported,,1
h96_n1,k1,device__attribute_managed_memory,,1
h96_n1,k1,device__attribute_max_access_policy_window_size,,134217728
h96_n1,k1,device__attribute_max_block_dim_x,,1024
h96_n1,k1,device__attribute_max_block_dim_y,,1024
h96_n1,k1,device__attribute_max_block_dim_z,,64
h96_n1,k1,device__attribute_max_blocks_per_multiprocessor,,32
h96_n1,k1,device__attribute_max_gpu_frequency_khz,,2032000
h96_n1,k1,device__attribute_max_grid_dim_x,,2147483647
h96_n1,k1,device__attribute_max_grid_dim_y,,65535
h96_n1,k1,device__attribute_max_grid_dim_z,,65535
h96_n1,k1,device__attribute_max_ipc_per_multiprocessor,,4
h96_n1,k1,device__attribute_max_ipc_per_scheduler,,1
h96_n1,k1,device__attribute_max_mem_frequency_khz,,3996000
h96_n1,k1,device__attribute_max_persisting_l2_cache_size,,82903040
h96_n1,k1,device__attribute_max_pitch,,2147483647
h96_n1,k1,device__attribute_max_registers_per_block,,65536
h96_n1,k1,device__attribute_max_registers_per_multiprocessor,,65536
h96_n1,k1,device__attribute_max_registers_per_thread,,255
h96_n1,k1,device__attribute_max_shared_memory_per_block,,49152
h96_n1,k1,device__attribute_max_shared_memory_per_block_optin,,232448
h96_n1,k1,device__attribute_max_shared_memory_per_multiprocessor,,233472
h96_n1,k1,device__attribute_max_threads_per_block,,1024
h96_n1,k1,device__attribute_max_threads_per_multiprocessor,,2048
h96_n1,k1,device__attribute_max_warps_per_multiprocessor,,64
h96_n1,k1,device__attribute_max_warps_per_scheduler,,16
h96_n1,k1,device__attribute_maximum_surface1d_layered_layers,,2048
h96_n1,k1,device__attribute_maximum_surface1d_layered_width,,32768
h96_n1,k1,device__attribute_maximum_surface1d_width,,32768
h96_n1,k1,device__attribute_maximum_surface2d_height,,65536
h96_n1,k1,device__attribute_maximum_surface2d_layered_height,,32768
h96_n1,k1,device__attribute_maximum_surface2d_layered_layers,,2048
h96_n1,k1,device__attribute_maximum_surface2d_layered_width,,32768
h96_n1,k1,device__attribute_maximum_surface2d_width,,131072
h96_n1,k1,device__attribute_maximum_surface3d_depth,,16384
h96_n1,k1,device__attribute_maximum_surface3d_height,,16384
h96_n1,k1,device__attribute_maximum_surface3d_width,,16384
h96_n1,k1,device__attribute_maximum_surfacecubemap_layered_layers,,2046
h96_n1,k1,device__attribute_maximum_surfacecubemap_layered_width,,32768
h96_n1,k1,device__attribute_maximum_surfacecubemap_width,,32768
h96_n1,k1,device__attribute_maximum_texture1d_layered_layers,,2048
h96_n1,k1,device__attribute_maximum_texture1d_layered_width,,32768
h96_n1,k1,device__attribute_maximum_texture1d_linear_width,,268435456
h96_n1,k1,device__attribute_maximum_texture1d_mipmapped_width,,32768
h96_n1,k1,device__attribute_maximum_texture1d_width,,131072
h96_n1,k1,device__attribute_maximum_texture2d_gather_height,,32768
h96_n1,k1,device__attribute_maximum_texture2d_gather_width,,32768
h96_n1,k1,device__attribute_maximum_texture2d_height,,65536
h96_n1,k1,device__attribute_maximum_texture2d_layered_height,,32768
h96_n1,k1,device__attribute_maximum_texture2d_layered_layers,,2048
h96_n1,k1,device__attribute_maximum_texture2d_layered_width,,32768
h96_n1,k1,device__attribute_maximum_texture2d_linear_height,,65000
h96_n1,k1,device__attribute_maximum_texture2d_linear_pitch,,2097120
h96_n1,k1,device__attribute_maximum_texture2d_linear_width,,131072
h96_n1,k1,device__attribute_maximum_texture2d_mipmapped_height,,32768
h96_n1,k1,device__attribute_maximum_texture2d_mipmapped_width,,32768
h96_n1,k1,device__attribute_maximum_texture2d_width,,131072
h96_n1,k1,device__attribute_maximum_texture3d_depth,,16384
h96_n1,k1,device__attribute_maximum_texture3d_depth_alternate,,32768
h96_n1,k1,device__attribute_maximum_texture3d_height,,16384
h96_n1,k1,device__attribute_maximum_texture3d_height_alternate,,8192
h96_n1,k1,device__attribute_maximum_texture3d_width,,16384
h96_n1,k1,device__attribute_maximum_texture3d_width_alternate,,8192
h96_n1,k1,device__attribute_maximum_texturecubemap_layered_layers,,2046
h96_n1,k1,device__attribute_maximum_texturecubemap_layered_width,,32768
h96_n1,k1,device__attribute_maximum_texturecubemap_width,,32768
h96_n1,k1,device__attribute_mem_sync_domain_count,,4
h96_n1,k1,device__attribute_memory_clock_rate,,3996000
h96_n1,k1,device__attribute_memory_pools_supported,,1
h96_n1,k1,device__attribute_mempool_supported_handle_types,,9
h96_n1,k1,device__attribute_mps_enabled,,0
h96_n1,k1,device__attribute_multi_gpu_board,,0
h96_n1,k1,device__attribute_multi_gpu_board_group_id,,0
h96_n1,k1,device__attribute_multicast_supported,,1
h96_n1,k1,device__attribute_multiprocessor_count,,148
h96_n1,k1,device__attribute_num_l2s_per_fbp,,12
h96_n1,k1,device__attribute_num_schedulers_per_multiprocessor,,4
h96_n1,k1,device__attribute_num_tex_per_multiprocessor,,1
h96_n1,k1,device__attribute_numa_config,,0
h96_n1,k1,device__attribute_pageable_memory_access,,1
h96_n1,k1,device__attribute_pageable_memory_access_uses_host_page_tables,,0
h96_n1,k1,device__attribute_pci_bus_id,,6
h96_n1,k1,device__attribute_pci_device_id,,0
h96_n1,k1,device__attribute_pci_domain_id,,0
h96_n1,k1,device__attribute_ram_location,,1
h96_n1,k1,device__attribute_ram_type,,0
h96_n1,k1,device__attribute_reserved_shared_memory_per_block,,1024
h96_n1,k1,device__attribute_sass_level,,10
h96_n1,k1,device__attribute_single_to_double_precision_perf_ratio,,64
h96_n1,k1,device__attribute_sparse_cuda_array_supported,,1
h96_n1,k1,device__attribute_stream_priorities_supported,,1
h96_n1,k1,device__attribute_surface_alignment,,512
h96_n1,k1,device__attribute_tcc_driver,,0
h96_n1,k1,device__attribute_tensor_map_access_supported,,1
h96_n1,k1,device__attribute_texture_alignment,,512
h96_n1,k1,device__attribute_texture_pitch_alignment,,32
h96_n1,k1,device__attribute_total_constant_memory,,65536
h96_n1,k1,device__attribute_total_memory,,287428640768
h96_n1,k1,device__attribute_unified_addressing,,1
h96_n1,k1,device__attribute_unified_function_pointers,,1
h96_n1,k1,device__attribute_virtual_address_management_supported,,1
h96_n1,k1,device__attribute_warp_size,,32
h96_n1,k1,dram__bytes.avg.per_second,byte/s,41904991304.35
h96_n1,k1,dram__bytes.max.per_second,byte/s,44774400000
h96_n1,k1,dram__bytes.min.per_second,byte/s,22064417391.30
h96_n1,k1,dram__bytes.sum.per_second,byte/s,2681919443478.26
h96_n1,k1,gpc__cycles_elapsed.avg.per_second,hz,1076205434.78
h96_n1,k1,gpc__cycles_elapsed.max.per_second,hz,1093443478.26
h96_n1,k1,gpc__cycles_elapsed.min.per_second,hz,1056847826.09
h96_n1,k1,gpc__cycles_elapsed.sum.per_second,hz,8609643478.26
h96_n1,k1,gpu__compute_memory_access_throughput.avg.pct_of_peak_sustained_elapsed,%,71.32
h96_n1,k1,gpu__compute_memory_access_throughput.max.pct_of_peak_sustained_elapsed,%,73.60
h96_n1,k1,gpu__compute_memory_access_throughput.min.pct_of_peak_sustained_elapsed,%,68.83
h96_n1,k1,gpu__compute_memory_access_throughput.sum.pct_of_peak_sustained_elapsed,%,71.32
h96_n1,k1,gpu__compute_memory_request_throughput.avg.pct_of_peak_sustained_elapsed,%,60.24
h96_n1,k1,gpu__compute_memory_request_throughput.max.pct_of_peak_sustained_elapsed,%,61.67
h96_n1,k1,gpu__compute_memory_request_throughput.min.pct_of_peak_sustained_elapsed,%,58.57
h96_n1,k1,gpu__compute_memory_request_throughput.sum.pct_of_peak_sustained_elapsed,%,60.24
h96_n1,k1,gpu__time_duration.avg,ns,460000
h96_n1,k1,gpu__time_duration.max,ns,460000
h96_n1,k1,gpu__time_duration.min,ns,460000
h96_n1,k1,gpu__time_duration.sum,ns,460000
h96_n1,k1,idc__request_cycles_active.avg.pct_of_peak_sustained_elapsed,%,4.44
h96_n1,k1,idc__request_cycles_active.max.pct_of_peak_sustained_elapsed,%,4.55
h96_n1,k1,idc__request_cycles_active.min.pct_of_peak_sustained_elapsed,%,4.32
h96_n1,k1,idc__request_cycles_active.sum.pct_of_peak_sustained_elapsed,%,4.44
h96_n1,k1,l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_ld.avg,,34372.34
h96_n1,k1,l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_ld.max,,37159
h96_n1,k1,l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_ld.min,,31001
h96_n1,k1,l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_ld.sum,,5087106
h96_n1,k1,l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_st.avg,,11236.96
h96_n1,k1,l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_st.max,,12786
h96_n1,k1,l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_st.min,,9081
h96_n1,k1,l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_st.sum,,1663070
h96_n1,k1,l1tex__data_bank_reads.avg.pct_of_peak_sustained_elapsed,%,17.45
h96_n1,k1,l1tex__data_bank_reads.max.pct_of_peak_sustained_elapsed,%,17.86
h96_n1,k1,l1tex__data_bank_reads.min.pct_of_peak_sustained_elapsed,%,16.92
h96_n1,k1,l1tex__data_bank_reads.sum.pct_of_peak_sustained_elapsed,%,17.45
h96_n1,k1,l1tex__data_bank_writes.avg.pct_of_peak_sustained_elapsed,%,12.96
h96_n1,k1,l1tex__data_bank_writes.max.pct_of_peak_sustained_elapsed,%,13.26
h96_n1,k1,l1tex__data_bank_writes.min.pct_of_peak_sustained_elapsed,%,12.56
h96_n1,k1,l1tex__data_bank_writes.sum.pct_of_peak_sustained_elapsed,%,12.96
h96_n1,k1,l1tex__data_pipe_lsu_wavefronts.avg,,353609.21
h96_n1,k1,l1tex__data_pipe_lsu_wavefronts.avg.pct_of_peak_sustained_elapsed,%,71.32
h96_n1,k1,l1tex__data_pipe_lsu_wavefronts.max,,364942
h96_n1,k1,l1tex__data_pipe_lsu_wavefronts.max.pct_of_peak_sustained_elapsed,%,73.60
h96_n1,k1,l1tex__data_pipe_lsu_wavefronts.min,,341284
h96_n1,k1,l1tex__data_pipe_lsu_wavefronts.min.pct_of_peak_sustained_elapsed,%,68.83
h96_n1,k1,l1tex__data_pipe_lsu_wavefronts.sum,,52334163
h96_n1,k1,l1tex__data_pipe_lsu_wavefronts.sum.pct_of_peak_sustained_elapsed,%,71.32
h96_n1,k1,l1tex__data_pipe_lsu_wavefronts_mem_shared.avg,,340465.66
h96_n1,k1,l1tex__data_pipe_lsu_wavefronts_mem_shared.max,,353817
h96_n1,k1,l1tex__data_pipe_lsu_wavefronts_mem_shared.min,,324939
h96_n1,k1,l1tex__data_pipe_lsu_wavefronts_mem_shared.sum,,50388918
h96_n1,k1,l1tex__data_pipe_lsu_wavefronts_mem_shared_op_ld.avg,,181828.34
h96_n1,k1,l1tex__data_pipe_lsu_wavefronts_mem_shared_op_ld.max,,187239
h96_n1,k1,l1tex__data_pipe_lsu_wavefronts_mem_shared_op_ld.min,,174413
h96_n1,k1,l1tex__data_pipe_lsu_wavefronts_mem_shared_op_ld.sum,,26910594
h96_n1,k1,l1tex__data_pipe_lsu_wavefronts_mem_shared_op_st.avg,,111489.06
h96_n1,k1,l1tex__data_pipe_lsu_wavefronts_mem_shared_op_st.max,,116271
h96_n1,k1,l1tex__data_pipe_lsu_wavefronts_mem_shared_op_st.min,,106819
h96_n1,k1,l1tex__data_pipe_lsu_wavefronts_mem_shared_op_st.sum,,16500381
h96_n1,k1,l1tex__data_pipe_tc_wavefronts.avg.pct_of_peak_sustained_elapsed,%,0
h96_n1,k1,l1tex__data_pipe_tc_wavefronts.max.pct_of_peak_sustained_elapsed,%,0
h96_n1,k1,l1tex__data_pipe_tc_wavefronts.min.pct_of_peak_sustained_elapsed,%,0
h96_n1,k1,l1tex__data_pipe_tc_wavefronts.sum.pct_of_peak_sustained_elapsed,%,0
h96_n1,k1,l1tex__data_pipe_tex_wavefronts.avg.pct_of_peak_sustained_elapsed,%,0
h96_n1,k1,l1tex__data_pipe_tex_wavefronts.max.pct_of_peak_sustained_elapsed,%,0
h96_n1,k1,l1tex__data_pipe_tex_wavefronts.min.pct_of_peak_sustained_elapsed,%,0
h96_n1,k1,l1tex__data_pipe_tex_wavefronts.sum.pct_of_peak_sustained_elapsed,%,0
h96_n1,k1,l1tex__f_wavefronts.avg.pct_of_peak_sustained_elapsed,%,0
h96_n1,k1,l1tex__f_wavefronts.max.pct_of_peak_sustained_elapsed,%,0
h96_n1,k1,l1tex__f_wavefronts.min.pct_of_peak_sustained_elapsed,%,0
h96_n1,k1,l1tex__f_wavefronts.sum.pct_of_peak_sustained_elapsed,%,0
h96_n1,k1,l1tex__lsu_writeback_active.avg.pct_of_peak_sustained_elapsed,%,36.17
h96_n1,k1,l1tex__lsu_writeback_active.max.pct_of_peak_sustained_elapsed,%,37.03
h96_n1,k1,l1tex__lsu_writeback_active.min.pct_of_peak_sustained_elapsed,%,35.18
h96_n1,k1,l1tex__lsu_writeback_active.sum.pct_of_peak_sustained_elapsed,%,36.17
h96_n1,k1,l1tex__lsuin_requests.avg.pct_of_peak_sustained_elapsed,%,42.33
h96_n1,k1,l1tex__lsuin_requests.max.pct_of_peak_sustained_elapsed,%,43.34
h96_n1,k1,l1tex__lsuin_requests.min.pct_of_peak_sustained_elapsed,%,41.04
h96_n1,k1,l1tex__lsuin_requests.sum.pct_of_peak_sustained_elapsed,%,42.33
h96_n1,k1,l1tex__m_l1tex2xbar_req_cycles_active.avg.pct_of_peak_sustained_elapsed,%,60.24
h96_n1,k1,l1tex__m_l1tex2xbar_req_cycles_active.max.pct_of_peak_sustained_elapsed,%,61.67
h96_n1,k1,l1tex__m_l1tex2xbar_req_cycles_active.min.pct_of_peak_sustained_elapsed,%,58.57
h96_n1,k1,l1tex__m_l1tex2xbar_req_cycles_active.sum.pct_of_peak_sustained_elapsed,%,60.24
h96_n1,k1,l1tex__m_xbar2l1tex_read_sectors.avg.pct_of_peak_sustained_elapsed,%,6.73
h96_n1,k1,l1tex__m_xbar2l1tex_read_sectors.max.pct_of_peak_sustained_elapsed,%,6.95
h96_n1,k1,l1tex__m_xbar2l1tex_read_sectors.min.pct_of_peak_sustained_elapsed,%,6.49
h96_n1,k1,l1tex__m_xbar2l1tex_read_sectors.sum.pct_of_peak_sustained_elapsed,%,6.73
h96_n1,k1,l1tex__m_xbar2l1tex_read_sectors_mem_dshared.avg.pct_of_peak_sustained_elapsed,%,0
h96_n1,k1,l1tex__m_xbar2l1tex_read_sectors_mem_dshared.max.pct_of_peak_sustained_elapsed,%,0
h96_n1,k1,l1tex__m_xbar2l1tex_read_sectors_mem_dshared.min.pct_of_peak_sustained_elapsed,%,0
h96_n1,k1,l1tex__m_xbar2l1tex_read_sectors_mem_dshared.sum.pct_of_peak_sustained_elapsed,%,0
h96_n1,k1,l1tex__t_sector_hit_rate.pct,%,99.55
h96_n1,k1,l1tex__tex_writeback_active.avg.pct_of_peak_sustained_elapsed,%,0
h96_n1,k1,l1tex__tex_writeback_active.max.pct_of_peak_sustained_elapsed,%,0
h96_n1,k1,l1tex__tex_writeback_active.min.pct_of_peak_sustained_elapsed,%,0
h96_n1,k1,l1tex__tex_writeback_active.sum.pct_of_peak_sustained_elapsed,%,0
h96_n1,k1,l1tex__texin_sm2tex_req_cycles_active.avg.pct_of_peak_sustained_elapsed,%,0.53
h96_n1,k1,l1tex__texin_sm2tex_req_cycles_active.max.pct_of_peak_sustained_elapsed,%,0.56
h96_n1,k1,l1tex__texin_sm2tex_req_cycles_active.min.pct_of_peak_sustained_elapsed,%,0.50
h96_n1,k1,l1tex__texin_sm2tex_req_cycles_active.sum.pct_of_peak_sustained_elapsed,%,0.53
h96_n1,k1,l1tex__tmain_requests.avg.pct_of_peak_sustained_elapsed,%,4.29
h96_n1,k1,l1tex__tmain_requests.max.pct_of_peak_sustained_elapsed,%,4.39
h96_n1,k1,l1tex__tmain_requests.min.pct_of_peak_sustained_elapsed,%,4.16
h96_n1,k1,l1tex__tmain_requests.sum.pct_of_peak_sustained_elapsed,%,4.29
h96_n1,k1,launch__barrier_count,,1
h96_n1,k1,launch__block_dim_x,block,256
h96_n1,k1,launch__block_dim_y,block,1
h96_n1,k1,launch__block_dim_z,block,1
h96_n1,k1,launch__block_size,,256
h96_n1,k1,launch__cluster_dim_x,,0
h96_n1,k1,launch__cluster_dim_y,,0
h96_n1,k1,launch__cluster_dim_z,,0
h96_n1,k1,launch__cluster_max_active,cluster,0
h96_n1,k1,launch__cluster_max_potential_size,block,8
h96_n1,k1,launch__cluster_scheduling_policy,,PolicySpread
h96_n1,k1,launch__cluster_size,,0
h96_n1,k1,launch__context_id,,1
h96_n1,k1,launch__device_id,,0
h96_n1,k1,launch__func_cache_config,,CachePreferNone
h96_n1,k1,launch__function_pcs,,1
h96_n1,k1,launch__grid_dim_x,,512
h96_n1,k1,launch__grid_dim_y,,96
h96_n1,k1,launch__grid_dim_z,,1
h96_n1,k1,launch__grid_size,,49152
h96_n1,k1,launch__occupancy_cluster_gpu_pct,%,0
h96_n1,k1,launch__occupancy_cluster_pct,%,0
h96_n1,k1,launch__occupancy_limit_barriers,block,32
h96_n1,k1,launch__occupancy_limit_blocks,block,32
h96_n1,k1,launch__occupancy_limit_registers,block,8
h96_n1,k1,launch__occupancy_limit_shared_mem,block,9
h96_n1,k1,launch__occupancy_limit_warps,block,8
h96_n1,k1,launch__occupancy_per_barrier_count,,1440
h96_n1,k1,launch__occupancy_per_block_size,,3339
h96_n1,k1,launch__occupancy_per_cluster_size,,0
h96_n1,k1,launch__occupancy_per_register_count,,5504
h96_n1,k1,launch__occupancy_per_shared_mem_size,,9072
h96_n1,k1,launch__persisting_l2_cache_size,byte,24870912
h96_n1,k1,launch__preferred_cluster_dim_x,,0
h96_n1,k1,launch__preferred_cluster_dim_y,,0
h96_n1,k1,launch__preferred_cluster_dim_z,,0
h96_n1,k1,launch__preferred_cluster_size,,0
h96_n1,k1,launch__registers_per_thread,register/thread,32
h96_n1,k1,launch__registers_per_thread_allocated,register/thread,32
h96_n1,k1,launch__shared_mem_config_size,byte,200704
h96_n1,k1,launch__shared_mem_per_block,byte/block,22272
h96_n1,k1,launch__shared_mem_per_block_allocated,byte/block,22272
h96_n1,k1,launch__shared_mem_per_block_driver,byte/block,1024
h96_n1,k1,launch__shared_mem_per_block_dynamic,byte/block,21248
h96_n1,k1,launch__shared_mem_per_block_static,byte/block,0
h96_n1,k1,launch__sm_count,SM,148
h96_n1,k1,launch__stack_size,,1024
h96_n1,k1,launch__stream_id,,7
h96_n1,k1,launch__thread_count,thread,12582912
h96_n1,k1,launch__tpc_count,,74
h96_n1,k1,launch__tpc_enabled,,all
h96_n1,k1,launch__uses_cdp,,0
h96_n1,k1,launch__uses_green_context,,0
h96_n1,k1,launch__uses_mps,,0
h96_n1,k1,launch__uses_nvlink_centric_scheduling,,0
h96_n1,k1,launch__uses_vgpu,,0
h96_n1,k1,launch__waves_per_multiprocessor,,41.51
h96_n1,k1,lrc__average_ilc_input_sector_success_rate.pct,%,0
h96_n1,k1,lrc__average_ilc_output_sector_compression_achieved_rate.pct,%,0
h96_n1,k1,lrc__ilc_input_sectors.sum,sector,788285
h96_n1,k1,lts__d_atomic_input_cycles_active.avg.pct_of_peak_sustained_elapsed,%,0
h96_n1,k1,lts__d_atomic_input_cycles_active.max.pct_of_peak_sustained_elapsed,%,0
h96_n1,k1,lts__d_atomic_input_cycles_active.min.pct_of_peak_sustained_elapsed,%,0
h96_n1,k1,lts__d_atomic_input_cycles_active.sum.pct_of_peak_sustained_elapsed,%,0
h96_n1,k1,lts__d_decomp_input_sectors.avg.pct_of_peak_sustained_elapsed,%,0
h96_n1,k1,lts__d_decomp_input_sectors.max.pct_of_peak_sustained_elapsed,%,0
h96_n1,k1,lts__d_decomp_input_sectors.min.pct_of_peak_sustained_elapsed,%,0
h96_n1,k1,lts__d_decomp_input_sectors.sum.pct_of_peak_sustained_elapsed,%,0
h96_n1,k1,lts__d_sectors.avg.pct_of_peak_sustained_elapsed,%,26.64
h96_n1,k1,lts__d_sectors.max.pct_of_peak_sustained_elapsed,%,27.97
h96_n1,k1,lts__d_sectors.min.pct_of_peak_sustained_elapsed,%,13.17
h96_n1,k1,lts__d_sectors.sum.pct_of_peak_sustained_elapsed,%,26.64
h96_n1,k1,lts__d_sectors_fill_device.avg.pct_of_peak_sustained_elapsed,%,14.46
h96_n1,k1,lts__d_sectors_fill_device.max.pct_of_peak_sustained_elapsed,%,14.79
h96_n1,k1,lts__d_sectors_fill_device.min.pct_of_peak_sustained_elapsed,%,7.39
h96_n1,k1,lts__d_sectors_fill_device.sum.pct_of_peak_sustained_elapsed,%,14.46
h96_n1,k1,lts__ltcfabric2lts_cycles_active.avg.pct_of_peak_sustained_elapsed,%,22.14
h96_n1,k1,lts__ltcfabric2lts_cycles_active.max.pct_of_peak_sustained_elapsed,%,23.47
h96_n1,k1,lts__ltcfabric2lts_cycles_active.min.pct_of_peak_sustained_elapsed,%,11.07
h96_n1,k1,lts__ltcfabric2lts_cycles_active.sum.pct_of_peak_sustained_elapsed,%,22.14
h96_n1,k1,lts__lts2xbar_cycles_active_realtime.avg.pct_of_peak_sustained_elapsed,%,7.45
h96_n1,k1,lts__lts2xbar_cycles_active_realtime.max.pct_of_peak_sustained_elapsed,%,8.27
h96_n1,k1,lts__lts2xbar_cycles_active_realtime.min.pct_of_peak_sustained_elapsed,%,3.46
h96_n1,k1,lts__lts2xbar_cycles_active_realtime.sum.pct_of_peak_sustained_elapsed,%,7.45
h96_n1,k1,lts__t_sector_hit_rate.pct,%,42.01
h96_n1,k1,lts__t_sectors.avg.pct_of_peak_sustained_elapsed,%,23.35
h96_n1,k1,lts__t_sectors.max.pct_of_peak_sustained_elapsed,%,24.56
h96_n1,k1,lts__t_sectors.min.pct_of_peak_sustained_elapsed,%,11.59
h96_n1,k1,lts__t_sectors.sum.pct_of_peak_sustained_elapsed,%,23.35
h96_n1,k1,lts__t_tag_requests.avg.pct_of_peak_sustained_elapsed,%,54.42
h96_n1,k1,lts__t_tag_requests.max.pct_of_peak_sustained_elapsed,%,58.60
h96_n1,k1,lts__t_tag_requests.min.pct_of_peak_sustained_elapsed,%,27.11
h96_n1,k1,lts__t_tag_requests.sum.pct_of_peak_sustained_elapsed,%,54.42
h96_n1,k1,lts__throughput_internal_activity.avg.pct_of_peak_sustained_elapsed,%,54.44
h96_n1,k1,lts__throughput_internal_activity.max.pct_of_peak_sustained_elapsed,%,57.09
h96_n1,k1,lts__throughput_internal_activity.min.pct_of_peak_sustained_elapsed,%,27.29
h96_n1,k1,lts__throughput_internal_activity.sum.pct_of_peak_sustained_elapsed,%,54.44
h96_n1,k1,lts__xbar2lts_cycles_active.avg.pct_of_peak_sustained_elapsed,%,35.58
h96_n1,k1,lts__xbar2lts_cycles_active.max.pct_of_peak_sustained_elapsed,%,38.82
h96_n1,k1,lts__xbar2lts_cycles_active.min.pct_of_peak_sustained_elapsed,%,16.91
h96_n1,k1,lts__xbar2lts_cycles_active.sum.pct_of_peak_sustained_elapsed,%,35.58
h96_n1,k1,numa__cpu_affinity,,1
h96_n1,k1,numa__dev_display_name_all,,1
h96_n1,k1,numa__id_cpu,,1
h96_n1,k1,numa__id_memory,,1
h96_n1,k1,nvlink__bandwidth,,0
h96_n1,k1,nvlink__count_logical,,0
h96_n1,k1,nvlink__count_physical,,0
h96_n1,k1,nvlink__destination_ports,,0
h96_n1,k1,nvlink__dev0Id,,0
h96_n1,k1,nvlink__dev0type,,0
h96_n1,k1,nvlink__dev1Id,,0
h96_n1,k1,nvlink__dev1type,,0
